championship_name,event,round_name,round,player_a,player_b,score_a,score_b,winner
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Quarterfinals,Lee Woo-seok (KOR),Wei Chun-heng (TPE),28,25,Lee Woo-seok (KOR)
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Quarterfinals,Khairul Anuar Mohamad (MAS),Ilfat Abdullin (KAZ),27,29,Ilfat Abdullin (KAZ)
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Quarterfinals,Riau Ega Agata (INA),Atanu Das (IND),27,27,Riau Ega Agata (INA)
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Quarterfinals,Takaharu Furukawa (JPN),Kim Woo-jin (KOR),29,28,Takaharu Furukawa (JPN)
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Semifinals,Lee Woo-seok (KOR),Ilfat Abdullin (KAZ),29,27,Lee Woo-seok (KOR)
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Semifinals,Riau Ega Agata (INA),Kim Woo-jin (KOR),27,28,Kim Woo-jin (KOR)
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Gold medal match,Lee Woo-seok (KOR),Kim Woo-jin (KOR),27,27,
Archery at the 2018 Asian Games,Men's individual recurve,Finals,Bronze medal match,Ilfat Abdullin (KAZ),Riau Ega Agata (INA),29,29,Riau Ega Agata (INA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 1,1/32 eliminations,Ma Hing Kin (HKG),Ibrahim Al-Mohanadi (QAT),25,23,Ma Hing Kin (HKG)
Archery at the 2018 Asian Games,Men's individual recurve,Section 1,1/16 eliminations,Lee Woo-seok (KOR),Ma Hing Kin (HKG),27,28,Ma Hing Kin (HKG)
Archery at the 2018 Asian Games,Men's individual recurve,Section 1,1/16 eliminations,Hoàng Văn Lộc (VIE),Chu Đức Anh (VIE),26,29,Chu Đức Anh (VIE)
Archery at the 2018 Asian Games,Men's individual recurve,Section 1,1/8 eliminations,Lee Woo-seok (KOR),Chu Đức Anh (VIE),28,28,Lee Woo-seok (KOR)
Archery at the 2018 Asian Games,Men's individual recurve,Section 2,1/32 eliminations,Nima Wangdi (BHU),Tilak Pun Magar (NEP),25,27,Tilak Pun Magar (NEP)
Archery at the 2018 Asian Games,Men's individual recurve,Section 2,1/32 eliminations,Roshan Nagarkoti (NEP),Sajeev De Silva (SRI),24,27,Sajeev De Silva (SRI)
Archery at the 2018 Asian Games,Men's individual recurve,Section 2,1/16 eliminations,Xu Tianyu (CHN),Tilak Pun Magar (NEP),26,26,
Archery at the 2018 Asian Games,Men's individual recurve,Section 2,1/16 eliminations,Sajeev De Silva (SRI),Wei Chun-heng (TPE),28,18,Sajeev De Silva (SRI)
Archery at the 2018 Asian Games,Men's individual recurve,Section 2,1/8 eliminations,Xu Tianyu (CHN),Wei Chun-heng (TPE),28,30,Wei Chun-heng (TPE)
Archery at the 2018 Asian Games,Men's individual recurve,Section 3,1/32 eliminations,Ulukbek Kursanaliev (KGZ),Htike Lin Oo (MYA),26,27,Htike Lin Oo (MYA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 3,1/32 eliminations,Sadegh Ashrafi (IRI),Ali Ahmed Salem (QAT),27,28,Ali Ahmed Salem (QAT)
Archery at the 2018 Asian Games,Men's individual recurve,Section 3,1/16 eliminations,Tang Chih-chun (TPE),Htike Lin Oo (MYA),28,29,Htike Lin Oo (MYA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 3,1/16 eliminations,Ali Ahmed Salem (QAT),Khairul Anuar Mohamad (MAS),22,28,Khairul Anuar Mohamad (MAS)
Archery at the 2018 Asian Games,Men's individual recurve,Section 3,1/8 eliminations,Htike Lin Oo (MYA),Khairul Anuar Mohamad (MAS),27,27,Khairul Anuar Mohamad (MAS)
Archery at the 2018 Asian Games,Men's individual recurve,Section 4,1/32 eliminations,Ahmed Al-Kaabi (UAE),Bataagiin Pürevsüren (MGL),23,25,Bataagiin Pürevsüren (MGL)
Archery at the 2018 Asian Games,Men's individual recurve,Section 4,1/32 eliminations,Amin Pirali (IRI),Fares Al-Otaibi (KSA),26,27,Fares Al-Otaibi (KSA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 4,1/16 eliminations,Vishwas (IND),Bataagiin Pürevsüren (MGL),28,28,Vishwas (IND)
Archery at the 2018 Asian Games,Men's individual recurve,Section 4,1/16 eliminations,Fares Al-Otaibi (KSA),Ilfat Abdullin (KAZ),26,30,Ilfat Abdullin (KAZ)
Archery at the 2018 Asian Games,Men's individual recurve,Section 4,1/8 eliminations,Vishwas (IND),Ilfat Abdullin (KAZ),26,28,Ilfat Abdullin (KAZ)
Archery at the 2018 Asian Games,Men's individual recurve,Section 5,1/32 eliminations,Mansour Alwi (KSA),Witthaya Thamwong (THA),28,29,Witthaya Thamwong (THA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 5,1/32 eliminations,Riau Ega Agata (INA),Idrees Majeed (PAK),28,22,Riau Ega Agata (INA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 5,1/16 eliminations,Ruman Shana (BAN),Witthaya Thamwong (THA),30,26,Ruman Shana (BAN)
Archery at the 2018 Asian Games,Men's individual recurve,Section 5,1/16 eliminations,Riau Ega Agata (INA),Akmal Nor Hasrin (MAS),27,26,Riau Ega Agata (INA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 5,1/8 eliminations,Ruman Shana (BAN),Riau Ega Agata (INA),26,27,Riau Ega Agata (INA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 6,1/32 eliminations,Hamdan Al-Mansoori (UAE),Pak Yong-won (PRK),18,27,Pak Yong-won (PRK)
Archery at the 2018 Asian Games,Men's individual recurve,Section 6,1/32 eliminations,Alek Edwar (INA),Kinley Tshering (BHU),29,28,Alek Edwar (INA)
Archery at the 2018 Asian Games,Men's individual recurve,Section 6,1/16 eliminations,Atanu Das (IND),Pak Yong-won (PRK),28,23,Atanu Das (IND)
